Rank,Performance,Wind,Athlete,Age,Country,Location,Date
176,11.06,(+1.7),Steve Camilleri,30,MLT,"Marsa, MLT",6 Jul 22 - 10 Jul 22
176,11.06,(+1.0),Daniel Dobrev,30,BUL,"Veliko Tarnovo, BUL",11 Jun 22 - 12 Jun 22
176,11.06,(+0.2),Christoph Hansen,30,GER,"Aachen, GER",28 May 22 - 29 May 22
180,11.07,(+3.0),Cedric Kisungo,34,FRA,"Montgeron, FRA",11 Jun 22 - 12 Jun 22
180,11.07,(0.1),Levance Williams Sr,34,USA,"Lexington, KY, USA",28 Jul 22 - 31 Jul 22
180,11.07,(-1.0),Sota Kawatsura,33,JPN,"Gifu, JPN",23 Sep 22 - 25 Sep 22
180,11.07,(+1.6),Andre Harrell,31,USA,"Miami, FL, USA",23 Apr 22
180,11.07,"(+1,8)",Aleksi Kuusinen,30,FIN,"Kuortane, FIN",18 Jun 22
185,11.08,(+0.2),Jim-Yung Joo,33,KOR,"Daegu, KOR",19 Apr 22
185,11.08,(-1.0),Kazuki Urakawa,31,JPN,"Gifu, JPN",23 Sep 22 - 25 Sep 22
185,11.08,(+2.2),Chad Perris,30,AUS,"Sydney, AU-NS, AUS",30 Mar 22 - 3 Apr 22
188,11.09,(-1.3),Florian Daum,31,GER,"Berlin, GER",23 Jun 22 - 26 Jun 22
188,11.09,(+3.8),Adrien Ferlet,31,FRA,"Lamballe, FRA",18 Jun 22 - 19 Jun 22
